Date,Product,Region,Units_Sold,Unit_Price,Sales
2025-01-01,Laptop,North,15,55000,825000
2025-01-05,Mobile,South,30,20000,600000
2025-01-10,Tablet,East,20,15000,300000
2025-01-15,Laptop,West,12,55000,660000
2025-02-01,Mobile,North,35,20000,700000
2025-02-05,Tablet,South,18,15000,270000
2025-02-10,Laptop,East,20,55000,1100000
2025-02-15,Mobile,West,28,20000,560000
2025-03-01,Tablet,North,25,15000,375000
2025-03-05,Laptop,South,18,55000,990000
2025-03-10,Mobile,East,40,20000,800000
2025-03-15,Tablet,West,22,15000,330000
2025-04-01,Laptop,North,25,55000,1375000
2025-04-05,Mobile,South,42,20000,840000
2025-04-10,Tablet,East,28,15000,420000
2025-04-15,Laptop,West,20,55000,1100000
2025-05-01,Mobile,North,45,20000,900000
2025-05-05,Tablet,South,30,15000,450000
2025-05-10,Laptop,East,28,55000,1540000
2025-05-15,Mobile,West,38,20000,760000
2025-06-01,Tablet,North,35,15000,525000
2025-06-05,Laptop,South,30,55000,1650000
2025-06-10,Mobile,East,50,20000,1000000
2025-06-15,Tablet,West,32,15000,480000
